ProductName,Category,Brand,UnitPrice
Vacuum Cleaner,Home Appliances,UrbanWear Co.,240
Board Game,Toys,EcoHome Essentials,747
Fiction,Books,EcoHome Essentials,449
Bananas,Groceries,Zenith Corp,964
Vacuum Cleaner,Home Appliances,PrimeSports Ltd.,258
Refrigerator,Home Appliances,Zenith Corp,649
Doll,Toys,PrimeSports Ltd.,240
Loafers,Footwear,Zenith Corp,233
Shampoo,Beauty,Zenith Corp,744
Face Cream,Beauty,EcoHome Essentials,791
Wardrobe,Furniture,UrbanWear Co.,936
Non-Fiction,Books,PrimeSports Ltd.,898
Loafers,Footwear,UrbanWear Co.,401
Fiction,Books,Zenith Corp,597
Non-Fiction,Books,UrbanWear Co.,744
Nail Polish,Beauty,EcoHome Essentials,581
Shampoo,Beauty,EcoHome Essentials,174
Smartphone,Electronics,PrimeSports Ltd.,193
Puzzle,Toys,Zenith Corp,808
Loafers,Footwear,Zenith Corp,697
Loafers,Footwear,PrimeSports Ltd.,450
Doll,Toys,Zenith Corp,281
Puzzle,Toys,Zenith Corp,360
Fiction,Books,NovaTech,611
Loafers,Footwear,UrbanWear Co.,300
T-Shirt,Clothing,Zenith Corp,389
Air Conditioner,Home Appliances,EcoHome Essentials,752
Shampoo,Beauty,UrbanWear Co.,519
Camera,Electronics,NovaTech,441
Smartphone,Electronics,NovaTech,117
Yoga Mat,Sports,PrimeSports Ltd.,352
Smartphone,Electronics,Zenith Corp,450
Loafers,Footwear,NovaTech,983
Sandals,Footwear,NovaTech,632
Skirt,Clothing,Zenith Corp,659
Desk,Furniture,EcoHome Essentials,331
Tennis Racket,Sports,UrbanWear Co.,996
Refrigerator,Home Appliances,EcoHome Essentials,990
Wardrobe,Furniture,EcoHome Essentials,623
Tennis Racket,Sports,EcoHome Essentials,850
Biography,Books,EcoHome Essentials,914
Board Game,Toys,NovaTech,797
Desk,Furniture,NovaTech,813
Skirt,Clothing,PrimeSports Ltd.,372
Shampoo,Beauty,EcoHome Essentials,110
Puzzle,Toys,EcoHome Essentials,464
Puzzle,Toys,NovaTech,570
Yoga Mat,Sports,EcoHome Essentials,815
Board Game,Toys,NovaTech,188
Bananas,Groceries,PrimeSports Ltd.,620
Face Cream,Beauty,UrbanWear Co.,877
Sandals,Footwear,EcoHome Essentials,470
Jacket,Clothing,NovaTech,823
Bananas,Groceries,PrimeSports Ltd.,215
Vacuum Cleaner,Home Appliances,NovaTech,440
Yoga Mat,Sports,UrbanWear Co.,814
Shampoo,Beauty,Zenith Corp,778
Jacket,Clothing,UrbanWear Co.,642
Milk,Groceries,UrbanWear Co.,201
Face Cream,Beauty,NovaTech,596
Yoga Mat,Sports,PrimeSports Ltd.,204
Lipstick,Beauty,Zenith Corp,349
Nail Polish,Beauty,EcoHome Essentials,272
Loafers,Footwear,UrbanWear Co.,554
Lipstick,Beauty,PrimeSports Ltd.,303
Pasta,Groceries,EcoHome Essentials,441
Loafers,Footwear,EcoHome Essentials,216
Board Game,Toys,EcoHome Essentials,338
Shampoo,Beauty,PrimeSports Ltd.,719
Nail Polish,Beauty,EcoHome Essentials,473
Shampoo,Beauty,PrimeSports Ltd.,213
Sandals,Footwear,NovaTech,252
Non-Fiction,Books,PrimeSports Ltd.,344
Fiction,Books,PrimeSports Ltd.,427
Non-Fiction,Books,NovaTech,654
Vacuum Cleaner,Home Appliances,UrbanWear Co.,258
Board Game,Toys,UrbanWear Co.,718
Face Cream,Beauty,UrbanWear Co.,953
Biography,Books,EcoHome Essentials,751
Jacket,Clothing,NovaTech,710
Refrigerator,Home Appliances,EcoHome Essentials,508
Nail Polish,Beauty,EcoHome Essentials,264
Bananas,Groceries,EcoHome Essentials,183
Bananas,Groceries,EcoHome Essentials,155
Shampoo,Beauty,Zenith Corp,721
Face Cream,Beauty,PrimeSports Ltd.,868
Air Conditioner,Home Appliances,EcoHome Essentials,274
Shampoo,Beauty,NovaTech,305
Refrigerator,Home Appliances,EcoHome Essentials,555
Milk,Groceries,Zenith Corp,711
Pasta,Groceries,UrbanWear Co.,660
Biography,Books,Zenith Corp,579
Biography,Books,UrbanWear Co.,863
Puzzle,Toys,UrbanWear Co.,539
Smartphone,Electronics,Zenith Corp,433
Shampoo,Beauty,NovaTech,586
Vacuum Cleaner,Home Appliances,NovaTech,852
Pasta,Groceries,NovaTech,158
Shampoo,Beauty,UrbanWear Co.,338
Face Cream,Beauty,Zenith Corp,850
